,COLE_NOMBRE_ESTABLECIMIENTO,COLE_NATURALEZA,COLE_AREA_UBICACION,COLE_DEPTO_UBICACION,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,FAMI_NUMLIBROS,conectividad,alimentacion,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL
6576,INST METROPOLITANO DE EDUCION COMPUTARIZADO- IME,1,1,RISARALDA,0.16666666666666666,3.3333333333333335,3.3333333333333335,0.4166666666666667,0.8333333333333334,4.5,12.25,37.916666666666664,1.0,0.8333333333333334,0.5833333333333334,228.75
6577,INST MIGUEL ANTONIO CARO,1,1,SUCRE,0.1111111111111111,2.111111111111111,4.0,0.7777777777777778,0.7222222222222222,4.833333333333333,9.5,46.111111111111114,0.6666666666666666,0.5555555555555556,0.7222222222222222,283.8333333333333
6578,INST MILIT ANTONIO RICAURTE,1,1,BOGOTÁ,0.0,2.945945945945946,3.810810810810811,0.7297297297297297,0.8648648648648649,4.135135135135135,10.621621621621621,44.45945945945946,0.972972972972973,0.8648648648648649,0.7027027027027027,269.5135135135135
6579,INST MILIT AQUILEO PARRA,1,1,BOGOTÁ,0.0,3.9,3.6,0.85,1.0,5.85,11.25,57.75,1.0,0.95,0.85,276.65
6580,INST MODERNO,1,0,VALLE,0.0,2.1904761904761907,3.6666666666666665,0.47619047619047616,0.47619047619047616,5.571428571428571,12.142857142857142,29.285714285714285,0.9047619047619048,0.6666666666666666,0.7619047619047619,244.14285714285714
6581,INST MODERNO CRISTO REDENTOR,1,1,NORTE SANTANDER,0.0,2.142857142857143,4.714285714285714,0.5,0.7857142857142857,5.142857142857143,12.857142857142858,31.071428571428573,1.0,0.7142857142857143,0.8571428571428571,255.07142857142858
6582,INST MONTENEGRO,0,1,QUINDIO,0.025974025974025976,1.7142857142857142,3.4155844155844157,0.18181818181818182,0.2857142857142857,4.461038961038961,8.24025974025974,17.5974025974026,0.5194805194805194,0.5324675324675324,0.4935064935064935,221.72727272727272
6583,INST MUSICAL DIEGO ECHAVARRIA,1,1,ANTIOQUIA,0.0,4.769230769230769,3.0,1.0,1.0,6.230769230769231,11.076923076923077,80.76923076923077,1.0,1.0,0.9230769230769231,332.7692307692308
6584,INST NAL DE ENSE¿ANZA MEDIA DIVERSIFICADA INEM JOSE EUSEBIO CARO,0,1,NORTE SANTANDER,0.0,1.7212121212121212,4.042424242424242,0.43636363636363634,0.5515151515151515,5.0,10.854545454545455,27.363636363636363,0.6787878787878788,0.6484848484848484,0.793939393939394,247.21212121212122
6585,INST NAL DE TECNOLOGIA EMPRESARIAL-INTE,1,1,VALLE,0.0,2.4210526315789473,3.526315789473684,0.6842105263157895,0.8421052631578947,5.526315789473684,12.31578947368421,21.31578947368421,0.9473684210526315,0.6842105263157895,0.631578947368421,244.6315789473684
