,COLE_NOMBRE_ESTABLECIMIENTO,COLE_NATURALEZA,COLE_AREA_UBICACION,COLE_DEPTO_UBICACION,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,Educacion_padres,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,FAMI_NUMLIBROS,conectividad,alimentacion,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL
640,COL COOP DOMINGO SAVIO,1,1,HUILA,0.0,1.4615384615384615,3.923076923076923,84.61538461538461,4.615384615384615,7.615384615384615,34.23076923076923,61.53846153846154,46.15384615384615,30.76923076923077,261.15384615384613
641,COL COOP JOSE ACEVEDO Y GOMEZ,1,1,SANTANDER,0.0,2.533333333333333,3.4,73.33333333333333,5.0,10.2,31.666666666666668,93.33333333333333,80.0,73.33333333333333,222.0
642,COL COOP MINUTO DE DIOS,1,1,BOGOTÁ,0.0,2.9166666666666665,3.6666666666666665,91.66666666666666,3.25,10.5,41.666666666666664,100.0,75.0,58.333333333333336,258.4166666666667
643,COL COOP MONSEÑOR ISMAEL PERDOMO,1,1,BOGOTÁ,0.0,2.101123595505618,3.741573033707865,93.25842696629213,4.48314606741573,10.752808988764045,33.48314606741573,97.75280898876404,77.52808988764045,17.97752808988764,275.40449438202245
644,COL COOP NOC,1,1,RISARALDA,0.0,2.4444444444444446,3.0,55.55555555555556,2.3333333333333335,10.0,16.666666666666668,88.88888888888889,44.44444444444444,88.88888888888889,210.55555555555554
645,COL COOP NUEVO MUZU,1,1,BOGOTÁ,0.0,2.6511627906976742,4.069767441860465,81.3953488372093,3.4186046511627906,11.930232558139535,36.74418604651163,93.02325581395348,79.06976744186046,32.55813953488372,258.30232558139534
646,COL COOP PROSPERO PINZON,1,1,CUNDINAMARCA,0.0,2.1739130434782608,4.217391304347826,60.86956521739131,3.652173913043478,7.304347826086956,39.56521739130435,100.0,73.91304347826086,47.82608695652174,270.2173913043478
647,COL COOP SAN AGUSTIN,1,1,HUILA,0.0,1.6,3.8,100.0,5.2,9.8,37.666666666666664,80.0,66.66666666666666,26.666666666666668,298.06666666666666
648,COL COOP SAN ANTONIO DE PRADO (AC),1,1,ANTIOQUIA,0.718132854578097,2.025134649910233,4.095152603231598,47.03770197486535,3.8240574506283664,9.371633752244165,20.63734290843806,69.12028725314184,58.88689407540395,46.14003590664273,205.63016157989227
649,COL COOP SAN FRANCISCO DE ASIS,1,0,CUNDINAMARCA,0.0,2.6666666666666665,3.6666666666666665,75.0,5.5,13.0,35.0,91.66666666666666,75.0,25.0,269.4166666666667
650,COL COOP SAN JOSÉ DE PERALTA,1,1,NORTE SANTANDER,0.0,1.9642857142857142,3.642857142857143,89.28571428571429,5.357142857142857,7.392857142857143,32.142857142857146,89.28571428571429,57.14285714285714,32.142857142857146,322.7857142857143
651,COL COOP SIGMUND FREUD,1,1,SANTANDER,33.33333333333333,2.0,2.3333333333333335,33.33333333333333,5.0,6.0,23.333333333333332,33.33333333333333,66.66666666666666,100.0,263.0
652,COL COOP TECNICO INDUSTRIAL JOSE ANTONIO GALAN,1,1,VALLE,0.0,2.0,3.6,73.33333333333333,3.85,11.1,27.333333333333332,88.33333333333333,53.333333333333336,48.333333333333336,224.31666666666666
653,COL COOP VENECIA,1,1,BOGOTÁ,0.0,2.8947368421052633,3.473684210526316,81.57894736842105,5.2894736842105265,10.81578947368421,34.078947368421055,94.73684210526315,73.68421052631578,26.31578947368421,268.39473684210526
