,COLE_NOMBRE_ESTABLECIMIENTO,COLE_NATURALEZA,COLE_AREA_UBICACION,COLE_DEPTO_UBICACION,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,FAMI_NUMLIBROS,conectividad,alimentacion,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL
9086,INSTITUTO CENTRAL DE ESTUDIOS S.A.S,1,1,BOGOTÁ,0.0,3.4827586206896552,3.9655172413793105,0.8620689655172413,0.7931034482758621,4.344827586206897,12.206896551724139,50.172413793103445,1.0,0.8620689655172413,0.3448275862068966,256.62068965517244
9087,INSTITUTO CENTRAL DEL COMERCIO Y BACHILLERATO,1,1,VALLE,0.0,2.108695652173913,3.391304347826087,0.5,0.5652173913043478,5.1521739130434785,11.543478260869565,21.956521739130434,0.782608695652174,0.6086956521739131,0.3695652173913043,253.82608695652175
9088,INSTITUTO CENTRAL SUPERIOR,1,1,META,0.0,2.473684210526316,3.3157894736842106,0.47368421052631576,0.5263157894736842,3.1578947368421053,9.31578947368421,29.736842105263158,0.7368421052631579,0.6842105263157895,0.631578947368421,236.26315789473685
9089,INSTITUTO CENTRO DE SISTEMAS LTDA.,1,1,ATLANTICO,0.0,2.5555555555555554,3.7555555555555555,0.7555555555555555,0.8,4.933333333333334,13.066666666666666,34.55555555555556,0.8888888888888888,0.9111111111111111,0.4444444444444444,227.53333333333333
9090,INSTITUTO CIUDAD LORICA,1,1,CORDOBA,0.0,1.7575757575757576,3.8484848484848486,0.8484848484848485,0.9090909090909091,7.0,12.545454545454545,46.666666666666664,0.9090909090909091,0.6060606060606061,0.12121212121212122,286.6060606060606
9091,INSTITUTO COL TECNISISTEMAS,1,1,CUNDINAMARCA,0.0,2.382978723404255,3.6382978723404253,0.5106382978723404,0.6382978723404256,3.702127659574468,9.51063829787234,25.851063829787233,0.8723404255319149,0.6808510638297872,0.44680851063829785,236.89361702127658
9092,INSTITUTO COLOMBIA MIA,1,1,LA GUAJIRA,0.0,2.111111111111111,3.888888888888889,0.6666666666666666,1.0,5.0,10.333333333333334,19.444444444444443,0.7777777777777778,0.5555555555555556,0.5555555555555556,247.22222222222223
9093,INSTITUTO COLOMBIANO DE EDUCACION PARA EL TALENTO HUMANO ESPECIALIZADO ICETEC,1,1,ATLANTICO,0.0,2.1875,3.75,0.875,0.9375,7.125,12.5625,35.3125,1.0,0.8125,0.25,297.8125
9094,INSTITUTO COLOMBO JAPONES,1,1,CAUCA,0.0,1.9,4.2,0.8,0.5,4.5,7.2,33.0,0.7,0.4,0.3,193.0
9095,INSTITUTO COLOMBO JAPONES ZAKURAYIMA,1,1,QUINDIO,0.0,3.1666666666666665,3.7777777777777777,0.7777777777777778,0.7777777777777778,4.166666666666667,13.0,39.72222222222222,0.8888888888888888,0.8888888888888888,0.2777777777777778,272.72222222222223
9096,INSTITUTO COLOMBO VENEZOLANO,1,1,SANTANDER,0.0,1.6666666666666667,3.933333333333333,0.3333333333333333,0.26666666666666666,5.8,7.0,12.0,0.26666666666666666,0.4,0.8,201.8
9097,INSTITUTO COMERCIAL JUAN PABLO II,1,1,VALLE,0.0,2.0,4.0476190476190474,0.6666666666666666,0.6666666666666666,2.857142857142857,8.571428571428571,25.238095238095237,0.7142857142857143,0.42857142857142855,0.2857142857142857,199.1904761904762
